epoch,train_loss,val_loss,train_attribute_loss,val_attribute_loss,val_attribute_macro_f1,train_changeflag_loss,val_changeflag_loss,val_changeflag_f1
1,1.425884594935428,1.2442084417531365,1.1876752929542453,1.0574226481349844,0.14515437156537406,0.47641860713523604,0.3735715825306742,0.8886350656767561
2,1.2047323682009041,1.269305911895476,1.0353679525534916,1.0799479436521466,0.17318052345400645,0.3387288365073984,0.3787159233501083,0.8775894538606404
3,1.0536999555141753,1.2271007107276666,0.9323399069191385,1.0646052780119997,0.1742881346713913,0.24272009343645418,0.3249908728819144,0.9133765468473777
4,0.9224726056871305,1.2302669426916462,0.8307141225374244,1.0926118269317637,0.18844897782207712,0.18351697131368144,0.27531023549014016,0.9250585480093677
5,0.7845566517499917,1.4653976536110829,0.7269433855783803,1.2839781405698312,0.20063968873019458,0.11522652989097591,0.3628390281657247,0.9125348189415042
6,0.6576006125814561,2.0453739897133536,0.617112679513235,1.8124303678226792,0.1981829533530859,0.08097586771933638,0.46588724319161356,0.9024691358024691
7,0.5533916358712055,1.8940856550256477,0.5260743273301723,1.7095751876201433,0.2060420173458172,0.05463461860476111,0.3690209091690026,0.9196906603212374
8,0.4495555770941107,2.082266363854471,0.4325819122020736,1.871560668744343,0.20910901622154274,0.03394732911966585,0.42141138988939164,0.9205260148656375
9,0.37974775149115136,2.608246677824737,0.3608276028143589,2.414405279278167,0.20704164732595132,0.037840294470203185,0.38768277752311214,0.9271137026239067
10,0.3092911470638935,3.282292608313391,0.2991047441506114,3.033567363039765,0.20090945488980505,0.020372804400365898,0.49745054346146245,0.9184652278177458
11,0.2536115872995935,3.7290715884109407,0.24586459070784059,3.4768838450874777,0.20380319841837302,0.01549399241275232,0.5043754905116082,0.9239976062238181
12,0.2098587266959165,4.223043594381459,0.20387277194075712,3.900088595794889,0.18821954976298225,0.011971909429204293,0.6459099653487723,0.9078706528370958
13,0.15992765720692878,4.85800269602317,0.15697834911285244,4.539335014805003,0.18293211092862474,0.005898615059078965,0.6373352947925205,0.9145972138098122
14,0.13040368798624427,4.526153245624875,0.12789050624227796,4.245911561126904,0.1980977042287955,0.005026364107910604,0.5604834246792292,0.9242695289206917
15,0.09508868785638773,5.452042116923908,0.09398415347582487,5.048514391979744,0.18948944261818754,0.0022090681788831164,0.80705538845474,0.9089790897908979
16,0.07406518422067165,5.587578161282229,0.0734614150124131,5.270481736559927,0.17744823616532857,0.001207537898015206,0.6341928536475232,0.9240884638374178
17,0.05150807215106238,6.095705706531207,0.050563132493073266,5.793350035139539,0.17203874861957302,0.0018898796771202385,0.6047113209221463,0.9276393831553974
18,0.034964918458175634,6.378792908380427,0.03439367667704594,6.080229576884042,0.16745896407879737,0.0011424835176491966,0.5971265757547563,0.928529238038984
