epoch,train_loss,val_loss,train_object_loss,train_event_loss,train_attribute_loss,val_object_loss,val_event_loss,val_attribute_loss,val_object_macro_f1,val_event_macro_f1,val_attribute_macro_f1,train_changeflag_loss,val_changeflag_loss,val_changeflag_f1
1,-177.08895768684127,-326.394189009541,-35.90760108658569,-49.84395060645763,-91.63858072499359,-74.58186124500476,-89.48714943935997,-162.6309828507273,0.0,0.0,0.0,0.6023477550468518,0.611614684525289,0.8333333333333334
2,-334.1970989386845,-347.45377054810524,-69.70494316739274,-92.22347099246181,-172.5653967911753,-82.64826990428723,-95.03452878249318,-170.0370385019403,0.0,0.0,0.0,0.5934230600246458,0.5321294535931788,0.8577586206896551
3,-338.15370288457257,-347.60365080460906,-71.44330190071135,-92.7875285420581,-174.0982033327052,-82.64826990428723,-95.03452878249318,-170.0370385019403,0.0,0.0,0.0,0.35066324735888965,0.232370847444001,0.9433748584371461
4,-337.89698489809217,-347.6180335979811,-71.34140915381138,-92.59767601970483,-174.06230120060562,-82.64826990428723,-95.03452878249318,-170.0370385019403,0.0,0.0,0.0,0.20880316591648093,0.2036026622119703,0.9504504504504504
5,-338.1741733333457,-347.52518218448546,-71.34854715586616,-92.64407171677274,-174.27146280673068,-82.61415888133801,-95.02702547374524,-170.00192541825143,0.0,0.0,0.0,0.17981485076276976,0.23584752438364376,0.9433512224209899
6,-338.3689919823476,-347.38653736646836,-71.52543273171544,-92.7623799255139,-174.16778245352972,-82.58067798611572,-94.97797037425794,-169.92961241069594,0.0,0.0,0.0,0.17320258376461245,0.2034440762853544,0.9565727699530516
7,-338.498889589491,-347.31205293247865,-71.5368649297794,-92.75676896998185,-174.27440782554248,-82.52723251837925,-94.97350476917468,-169.91317026238693,0.0,0.0,0.0,0.13830491664957525,0.20371142117992827,0.9597197898423818
8,-338.1051397867529,-347.2167063332571,-71.43511315987591,-92.70045801895199,-174.03473579203674,-82.51744551407664,-94.92204560731587,-169.88563979299445,0.0,0.0,0.0,0.13033314268795257,0.21683880654082163,0.9552941176470588
9,-338.4871002313302,-345.6651794485435,-71.35512567382348,-92.83399344034521,-174.34922195840699,-82.02581861253665,-94.48030095351369,-169.30351859638537,0.0,0.0,0.0,0.10248136343505276,0.2889063752771012,0.9504716981132075
10,-338.374723717287,-346.22509462229516,-71.48735617140854,-92.69104382475066,-174.2402212048665,-82.18921581067536,-94.60525116167571,-169.57113346300628,0.0,0.0,0.0,0.08779458825639361,0.281013744417578,0.9442780107849011
11,-338.3963178047209,-346.2988720166644,-71.5558797343149,-92.74324934926777,-174.13601504713864,-82.14101936942653,-94.62507845226087,-169.66197164435135,0.0,0.0,0.0,0.07765232570630502,0.2584025141289825,0.9574344023323615
