epoch,train_loss,val_loss,train_object_loss,train_event_loss,train_attribute_loss,val_object_loss,val_event_loss,val_attribute_loss,val_object_macro_f1,val_event_macro_f1,val_attribute_macro_f1,train_changeflag_loss,val_changeflag_loss,val_changeflag_f1
1,3.5795585955050506,3.710421661405187,0.9613648692691281,1.2116108831343995,1.1777933879043667,1.15134377914824,1.233045730347696,1.1017481747426485,0.1686066183897376,0.12185371419821624,0.09605286112623494,0.4575788784389713,0.4485680315839617,0.8558842039018251
2,3.0634271917234357,3.178783355574859,0.7942985042419723,1.0685785102300318,1.0348723353995117,0.9126878118044451,1.0671415736800747,1.0283211587291015,0.17949215158135925,0.22075432122747388,0.15316974960690774,0.33135562455246204,0.34126558154821396,0.9052396878483835
3,2.724317814460725,3.657104568261849,0.6801012006549327,0.9720704868265885,0.9407736493607438,1.3169521649221057,1.1610417423867865,1.0259689442617328,0.19728648057391207,0.24173081702650243,0.17286538737479729,0.2627449359447331,0.3062833351524253,0.9105786090005844
4,2.336351162580483,4.160423037743098,0.5417829068101404,0.8632641715695196,0.8378068739017153,1.3410525690323036,1.5034315829581923,1.125816033908019,0.20585708588585572,0.250613055996298,0.18208506189200047,0.18699439418123248,0.3802456551868665,0.8926622195269861
5,2.001218056497465,5.061155505968552,0.4311424203698626,0.739625947217071,0.7563881135258838,1.7003600678749775,1.9022584431314546,1.3049529129149098,0.2454656807369829,0.26947832606797956,0.18473129811112854,0.14812311443709147,0.3071680256214581,0.9232558139534883
6,1.704747252817843,5.148364827036858,0.3568675301884064,0.6421158491658621,0.65340239897427,1.8875241345652427,1.8058610449385781,1.2764458061735098,0.25253384254350486,0.2445576147967562,0.19456769637016436,0.10472293371093874,0.35706759489288453,0.9142519219396806
7,1.3942767114240406,7.802547126738845,0.28629791222427736,0.5252229707322646,0.5452486029029345,2.645792337230983,3.094458428903875,1.8561144995588907,0.23157945033821373,0.24567453759456204,0.2045272250296726,0.07501444956571034,0.4123634009769088,0.9114676173499703
8,1.1656312740800951,7.460437488399054,0.2316842659061399,0.4366678565513952,0.4690788836986846,2.4462517150922825,2.8170770580243123,1.9725096709536094,0.2578242175310699,0.24754671517409618,0.20002615842723237,0.056400527642905256,0.4491979041577954,0.9125775521714607
9,0.9709449011563348,9.152507347103796,0.19525873944333297,0.354823333795533,0.3993179925041054,3.2551220823569516,3.57573619281481,2.067860622044751,0.24299401493808873,0.2279777811984003,0.2054321635880382,0.04308966115009068,0.5075768954243118,0.9192330040674027
10,0.7948775749242805,10.232569278528803,0.15710122973619192,0.2874561731806273,0.3385832761856993,3.2563253710181206,3.9296943670254367,2.7454749202159676,0.2202019122328757,0.2415067747669304,0.20818685325996925,0.02347377940397993,0.6021493148352755,0.9120287253141831
11,0.6484552813346848,11.984153080874469,0.12816084006326733,0.2358639191538662,0.276788889681885,3.7244073173713237,4.628930596643554,3.303266062808593,0.21815420028006727,0.22901127450167857,0.2097858712672349,0.015283255470906006,0.6550981299461502,0.906519065190652
12,0.5397816955363343,12.375483626965433,0.10092799130388086,0.1960936368304967,0.23791122048413346,4.195415977162683,4.52472765334546,3.347977017673417,0.2402421277707396,0.22013249300477256,0.21234215199356896,0.009697687460469019,0.6147255720815769,0.9236276849642004
13,0.42672990953740964,13.228442789513027,0.08402373948747101,0.1423520418485988,0.19584080435250648,4.54101405175932,5.009409671126521,3.403200049190242,0.1866241401302214,0.23056633608067542,0.20953387007578692,0.009026646619386432,0.5496381612886724,0.9185008923259964
14,0.340191410011665,14.307307478612385,0.06718319627551977,0.10908658856334795,0.16136797857488516,4.2996168464837625,5.733474351771053,4.0017364386289715,0.23053114790144424,0.19602262041820795,0.20402999580392844,0.005107294122941665,0.5449595248179608,0.9260792430514488
15,0.2768034182290614,15.530228732031231,0.05076174622051021,0.08734674828247425,0.13633690845263774,5.099657620331479,5.925520057507367,4.227765684293684,0.19060589922488735,0.2254613313092384,0.20901574158389624,0.004716030991514047,0.5545705448787072,0.9289871944121071
16,0.21186793587053684,16.948529511821874,0.036858431924092,0.062541605802005,0.11091008632242,5.576990202263053,6.247725345074669,4.830169153495789,0.1898809851628366,0.22143122668945003,0.2035704769834541,0.0031156229518554015,0.5872897769885114,0.9228958210712184
17,0.16722094702460014,18.86120623038024,0.030309295997744207,0.04864342363742481,0.08731658949371526,5.94419996115946,6.741560481415239,5.88010036866643,0.17478145185779134,0.2153125990447526,0.16120726452265785,0.0019032742879366742,0.5906911867287387,0.9300411522633745
18,0.13512371242499624,19.2699673546809,0.02526568762290543,0.03670390619685654,0.0724947452970104,6.0961528932430635,7.005254872041213,5.874733728364893,0.15394526576867365,0.20943892236387215,0.1779981657823919,0.001318747232220589,0.5876513425273037,0.9313154831199069
