epoch,train_loss,val_loss,train_event_loss,val_event_loss,val_event_macro_f1,train_changeflag_loss,val_changeflag_loss,val_changeflag_f1
1,1.3475037558388163,1.2723680138587952,1.119395319742101,1.0980258050717806,0.22278195735838222,0.4562168756059108,0.34868443090664714,0.8990011098779135
2,1.1092013798597204,1.203586043495881,0.9546130536166766,1.0640815614085448,0.24215322818896381,0.30917665794605514,0.2790089665274871,0.9168539325842696
3,0.9734278776263463,1.1694287736164897,0.8525677327891342,1.0465554547937292,0.2554062732363072,0.24172028978817336,0.2457466384297923,0.9276201505500868
4,0.8669562071334315,1.1839739468536878,0.7688933701915596,1.0727882306826741,0.25891916568481854,0.19612567570373302,0.2223714256757184,0.9373549883990719
5,0.7733501532605587,1.2291881638137918,0.6926097301126436,1.126608727009673,0.26756201456803735,0.1614808510164268,0.205158835963199,0.9453488372093023
6,0.6901375246411972,1.262223125288361,0.6229747015101309,1.1633985799394155,0.2649017269994491,0.13432564725743906,0.19764908403158188,0.9476162448499117
7,0.6171851895237697,1.2763236898340677,0.5605591619742736,1.1824864262813015,0.2695884242998438,0.11325205199932324,0.18767450691053741,0.9502050380785003
8,0.5509963476930866,1.3729476560103266,0.5032912035479801,1.2800218125707226,0.27360750995813493,0.09541028900114634,0.1858516825657142,0.9533799533799534
9,0.49293944694613684,1.4786793048444546,0.4536863754268821,1.3849874676058167,0.26616284702055043,0.07850613976821645,0.1873836587918432,0.9500580720092915
10,0.4369448093512586,1.5040207793445963,0.4058725640518975,1.4133402332663536,0.27154766329409646,0.06214449297323937,0.18136108941153475,0.9544392523364486
11,0.392705142725515,1.5958265517103045,0.3649901147107132,1.5020468068358146,0.26180022838872974,0.0554300565130383,0.18755949788579815,0.9556592765460911
12,0.3520670378481159,1.6802951907248873,0.32936208780485254,1.5849721898373805,0.2590067506863854,0.0454098988992681,0.1906460004025384,0.952046783625731
13,0.31305335769216525,1.7861948056440604,0.2948354479238277,1.686182809405421,0.26027812238981124,0.03643581794418452,0.20002401443688492,0.9536656891495601
14,0.28235498935211706,1.9101289824435586,0.26760897643238535,1.8110556274064278,0.2515661904961073,0.029492027762537922,0.1981467429156366,0.9526038619075483
15,0.25570774010119546,1.9474791111914735,0.2421680734357761,1.8484335939743017,0.25494538172577813,0.027079334304817307,0.1980910540411347,0.9532710280373832
16,0.23091788100832292,2.064154902277024,0.21992692544715095,1.9622344449162483,0.24416265817486538,0.02198190984266405,0.20384096275818975,0.9532163742690059
17,0.20954425951451747,2.190296403573532,0.1992763006732664,2.0836024945111653,0.2482657081225628,0.020535918087734067,0.2133877755779969,0.9524361948955916
18,0.19003958829486642,2.2564651701403293,0.18138526465374094,2.1474436191645894,0.23671080529139918,0.017308646500224376,0.21804312577373103,0.951716114019779
