epoch,train_loss,val_loss,train_event_loss,val_event_loss,val_event_macro_f1,train_changeflag_loss,val_changeflag_loss,val_changeflag_f1
1,1.4841488436601007,1.3792248391791393,1.2480412068929057,1.1747549678149976,0.18201857784010836,0.47221526928500984,0.40893972978780146,0.89086859688196
2,1.2489623076108924,1.3647734538504952,1.088190178454149,1.1932155757554268,0.19199657255661262,0.3215442556222129,0.34311576030756297,0.9051008303677343
3,1.1052731520322792,1.3200974369813736,0.9821629489102744,1.1479247958938543,0.22407720047512378,0.24622040431054146,0.34434526511713076,0.8926622195269861
4,0.9665471063820581,2.0026142569748977,0.8758351723504157,1.8436878927689242,0.2212944039163587,0.18142386882817338,0.3178527191967556,0.9174093879976233
5,0.8294081600673299,2.2437444982167922,0.7616943079029199,2.0369600615415133,0.22716589032972587,0.1354277030433822,0.4135688544054957,0.9149797570850202
6,0.7235984200533805,2.361377672537377,0.6650453681274965,2.187794887852904,0.24999751436756024,0.11710610420588305,0.34716557441769463,0.9055690072639225
7,0.5980429428385238,3.0386372249034284,0.5617708256716057,2.8545819834352617,0.23986238911299684,0.07254423170453185,0.3681104987075454,0.9200240529164161
8,0.5001094618337689,2.7863883491801587,0.47309152164386703,2.574577923864126,0.25011012360149965,0.05403587895891711,0.42362086244515684,0.9314121037463977
9,0.4115523535035862,3.0233345443480895,0.39144566881792625,2.8093415600198663,0.24880368859326973,0.04021337053458784,0.4279860067548917,0.9330254041570438
10,0.3231313761762793,4.4180357561034675,0.3072732105114614,4.118638758773924,0.24789579333023526,0.031716332969631104,0.5987939626681366,0.9097560975609756
11,0.24926148774279389,4.753340691810177,0.24071718361441174,4.452506124873349,0.22395652158337545,0.017088608177973686,0.6016690777829162,0.919442761962447
12,0.19362505420532516,5.1767196819970485,0.18774291246902808,4.9210235814465895,0.21698550880004888,0.01176428357606219,0.5113921863835698,0.9279437609841827
13,0.15695001813848664,5.378685610059428,0.153226951229255,5.113175175933161,0.1852742464673182,0.007446133730487771,0.5310209396135944,0.926291352292513
14,0.10792273825509013,5.134107373385249,0.10506823715601583,4.899363963325557,0.23665447751788546,0.005709001745102651,0.4694867957487555,0.9356521739130435
15,0.0829883338316935,6.030331055400893,0.08119881443835143,5.758854060303125,0.21828675434773026,0.0035790390957048616,0.5429538978465931,0.9245283018867925
16,0.05803239138039119,6.663004790114141,0.057135440966914704,6.3572238146528095,0.20378609559007219,0.0017939008409515937,0.6115620361026806,0.9273479031305375
17,0.04393696215910264,6.936071921434057,0.04319038843300491,6.639747237092275,0.18979856355847788,0.0014931478188981784,0.5926494463377534,0.9329446064139941
18,0.03557877942473546,7.027634786953537,0.03419310134568184,6.727772834360765,0.21272954286232046,0.002771356101172176,0.5997239666895965,0.9296600234466589
