epoch,train_loss,val_loss,train_object_loss,train_event_loss,train_attribute_loss,val_object_loss,val_event_loss,val_attribute_loss,val_object_macro_f1,val_event_macro_f1,val_attribute_macro_f1,train_changeflag_loss,val_changeflag_loss,val_changeflag_f1
1,3.4358326533368526,3.3089596033096313,0.9424612485725461,1.1384270509690728,1.115583170916288,0.9513349188001532,1.1242297072159617,1.0448676190878217,0.16293898225769946,0.21361223222543757,0.15363598793215918,0.47872233959554716,0.37705469445178386,0.893687707641196
2,2.9149618549201324,3.088319038089953,0.7570882316764075,1.004881946185163,0.9858314576949782,0.885146655534443,1.0651099995562905,0.98777048838766,0.17929741982957456,0.2273753598870959,0.1675419033885022,0.33432040824234943,0.30058379706583527,0.9193996664813785
3,2.624710659944374,2.9911216591533862,0.6622686172259673,0.9203741777944201,0.9120835188690942,0.8653564237450299,1.0392953133896778,0.9627054725822649,0.2442289583591701,0.24753267430231476,0.1780829831805527,0.2599686864223189,0.24752892161670484,0.9337175792507204
4,2.3972365828870816,2.9036006754950474,0.5894867864273886,0.8510420413417671,0.8537162419493872,0.8390737987662616,1.0244660126535516,0.933203070571548,0.23147114458712545,0.2572365992708477,0.18811205091847474,0.20598302002399022,0.21371560151639737,0.9412442396313364
5,2.2013109776809925,2.885582214907596,0.5272688549438506,0.7888049110201479,0.8012642623814008,0.8610556478563108,1.0099304192944576,0.9192487993522694,0.20368198194720297,0.2652115595892076,0.19221370797059736,0.1679458871256304,0.19069461602913707,0.9502314814814815
6,2.0375846788173413,2.8858860542899682,0.47477913084830947,0.7365699515087913,0.7543161720719956,0.8640711915336157,1.020121706551627,0.91246516022243,0.2193427882586415,0.26852646681406167,0.20155149262322425,0.14383884834992977,0.17845599157245537,0.9548088064889919
7,1.8909010832546322,2.9823495659388994,0.4286398152813657,0.6844692384923687,0.715118452337862,0.9238835124200896,1.056858847800054,0.9154767586212409,0.21623488808412336,0.2666247690448372,0.1977557961684698,0.12534715036171992,0.17226080851335274,0.9530978575564563
8,1.754444595511633,3.078358051808257,0.38580076567089283,0.6382694317184332,0.6748746842828416,0.9660256141306538,1.0981667743701684,0.9303344756756958,0.22223996440085547,0.2768825999969991,0.2032065375901667,0.11099941712868122,0.16766226703399106,0.955503512880562
9,1.6330792740101123,3.1536222731596544,0.35018604379573853,0.5944803980470613,0.6394818393328717,1.0088613147994405,1.1296673073972527,0.9323294913690341,0.221292849205826,0.28063453170884806,0.20636611584314898,0.09786198134640701,0.16552836585201716,0.9581881533101045
10,1.513243818101082,3.23745352539577,0.31450663381860455,0.5520942384050093,0.6039260746413515,1.0356101007445861,1.157989346275204,0.9578353546951947,0.21661276810237415,0.28589195827336084,0.2040971343072914,0.08543373750991949,0.17203751333842152,0.9541176470588235
