epoch,train_loss,val_loss,train_event_loss,val_event_loss,val_event_macro_f1,train_changeflag_loss,val_changeflag_loss,val_changeflag_f1
1,-59.167097293605366,-94.420816791685,-59.4675089229649,-94.72657911401046,0.0,0.6008229639820273,0.6115238572421827,0.8333333333333334
2,-92.32631610826847,-94.83399199576755,-92.57070056929788,-95.03452878249318,0.0,0.4887691926593563,0.40107256527009766,0.8939641109298532
3,-92.54503119581099,-94.91992253780757,-92.67798788556581,-95.03452878249318,0.0,0.2659133371999735,0.2292136436230258,0.9450171821305842
4,-92.70674462554119,-94.92335518474053,-92.80698309198532,-95.02532130793522,0.0,0.20047765570080098,0.2039333103518737,0.9495305164319249
5,-92.70510092615628,-94.92674610244208,-92.7909298305729,-95.02338986647756,0.0,0.17165844600661853,0.1932849823252151,0.9550173010380623
6,-92.77150707462441,-94.81194857141945,-92.84984674199906,-94.95356223457738,0.0,0.15667911771925683,0.28322806686437135,0.9314903846153846
7,-92.50214417896343,-94.75506723041465,-92.56702102545097,-94.87505907761424,0.0,0.1297538370821809,0.23998366096958834,0.9501187648456056
8,-92.68120175350755,-94.92215455553018,-92.73686691835353,-95.01573688105533,0.0,0.11133040296721197,0.18716496402368266,0.96133871898442
9,-92.72237262798353,-94.58384431558743,-92.76632960214361,-94.70826565591912,0.0,0.0879137770603889,0.24884289935265483,0.9566236811254396
10,-92.65900690927252,-94.13169318525807,-92.69494395382958,-94.34252462889019,0.0,0.07187346103131956,0.4216643215010041,0.9181538461538462
11,-92.66692984693404,-94.45441130550348,-92.6968647191733,-94.59771020788895,0.0,0.05986987677590475,0.28659825965156704,0.9565720903300521
